MP name with constituency,MP,MP in 2015-17,constituency,party,URL,date,family,Present?,Ended,*wife*,"wife inc ""spouse""",*spouse*,*husband*,*partner*,*sister*,*brother*,*father*,*mother*,*niece*,*daughter*,*-son*,* son*,TOTAL
"Bebb, Guto (Aberconwy)","Bebb, Guto",TRUE,Aberconwy,Conservative,https://www.publications.parliament.uk/pa/cm/cmregmem/170707/bebb_guto.htm,170707,"I employ my spouse, Esyllt Penri, to provide translation services as part time Office Manager/Personal Assistant. (Registered 27 January 2017)",TRUE,,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"Adams, Nigel (Selby and Ainsty)","Adams, Nigel",TRUE,Selby and Ainsty,Conservative,https://www.publications.parliament.uk/pa/cm/cmregmem/170707/adams_nigel.htm,170707,"I employ my spouse, Claire Adams, as part-time Office Manager.",TRUE,,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"Costa, Alberto (South Leicestershire)","Costa, Alberto",TRUE,South Leicestershire,Conservative,https://www.publications.parliament.uk/pa/cm/cmregmem/170707/costa_alberto.htm,170707,"I employ my spouse, Dr Maria Costa, as part-time Office Manager. (Registered 20 April 2016)",TRUE,,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"Davies, Glyn (Montgomeryshire)","Davies, Glyn",TRUE,Montgomeryshire,Conservative,https://www.publications.parliament.uk/pa/cm/cmregmem/170707/davies_glyn.htm,170707,"I employ my spouse, Bobbie Davies, as Senior Secretary.",TRUE,,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"Garnier, Mark (Wyre Forest)","Garnier, Mark",TRUE,Wyre Forest,Conservative,https://www.publications.parliament.uk/pa/cm/cmregmem/170707/garnier_mark.htm,170707,"I employ my spouse, Caroline Garnier, as Office Manager.",TRUE,,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"Hamilton, Fabian (Leeds North East)","Hamilton, Fabian",TRUE,Leeds North East,Labour,https://www.publications.parliament.uk/pa/cm/cmregmem/170707/hamilton_fabian.htm,170707,"I employ my spouse, Rosemary Hamilton, as a part time caseworker. (Registered 30 January 2017)",TRUE,,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"Murray, Mrs Sheryll (South East Cornwall)","Murray, Mrs Sheryll",TRUE,South East Cornwall,Conservative,https://www.publications.parliament.uk/pa/cm/cmregmem/170707/murray_sheryll.htm,170707,"I employ my partner, Mr Robert Davidson, as Office Manager.",TRUE,,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Betts, Mr Clive (Sheffield South East)","Betts, Mr Clive",TRUE,Sheffield South East,Labour,https://www.publications.parliament.uk/pa/cm/cmregmem/170707/betts_clive.htm,170707,"I employ my partner, James Thomas, as Senior Parliamentary Assistant.",TRUE,,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Caulfield, Maria (Lewes)","Caulfield, Maria",TRUE,Lewes,Conservative,https://www.publications.parliament.uk/pa/cm/cmregmem/170707/caulfield_maria.htm,170707,"I employ my partner, Steve Bell, as a Parliamentary Assistant. (Registered 04 January 2016; updated 22 March 2016)",TRUE,,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Doyle-Price, Jackie (Thurrock)","Doyle-Price, Jackie",TRUE,Thurrock,Conservative,https://www.publications.parliament.uk/pa/cm/cmregmem/170707/doyle-price_jackie.htm,170707,"I employ my partner, Mark Coxshall, as Office Manager.",TRUE,,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Johnson, Diana (Kingston upon Hull North)","Johnson, Diana",TRUE,Kingston upon Hull North,Labour,https://www.publications.parliament.uk/pa/cm/cmregmem/170707/johnson_diana.htm,170707,"I employ my partner, Kevin Morton, as Research and Communications Manager.",TRUE,,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Jones, Gerald (Merthyr Tydfil and Rhymney)","Jones, Gerald",TRUE,Merthyr Tydfil and Rhymney,Labour,https://www.publications.parliament.uk/pa/cm/cmregmem/170707/jones_gerald.htm,170707,"I employ my partner, Tyrone Powell, as Senior Parliamentary Assistant. (Registered 04 June 2015)",TRUE,,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Morris, David (Morecambe and Lunesdale)","Morris, David",TRUE,Morecambe and Lunesdale,Conservative,https://www.publications.parliament.uk/pa/cm/cmregmem/170707/morris_david.htm,170707,"I employ my partner, Emma Smith, as Senior Parliamentary Assistant. (Registered 16 March 2017)",TRUE,,0,0,0,0,1,0,0,0,0,0,0,0,0,1
